iter	Logloss
0	0.6867708277
1	0.6810867875
2	0.6741506788
3	0.6679284838
4	0.660869881
5	0.6544863383
6	0.6475731179
7	0.6422049911
8	0.6366759406
9	0.632902216
10	0.6274360374
11	0.6239056057
12	0.6176276737
13	0.6128950472
14	0.608559997
15	0.6029267488
16	0.597934299
17	0.5936531491
18	0.5882240578
19	0.5825475763
20	0.5771984524
21	0.5720363193
22	0.5685408557
23	0.5638903865
24	0.5587799637
25	0.5540889457
26	0.5498004489
27	0.5454131232
28	0.541676486
29	0.537430516
30	0.5333731263
31	0.528873373
32	0.5242768747
33	0.5198363551
34	0.5166205653
35	0.5118062408
36	0.5083698343
37	0.5051282247
38	0.5015857838
39	0.4982378571
40	0.4946177094
41	0.4914940728
42	0.4878626929
43	0.4839720196
44	0.4805498123
45	0.4771551909
46	0.4736452809
47	0.4702351182
48	0.4667283164
49	0.4646833914
50	0.4615431185
51	0.4584487986
52	0.4550429097
53	0.4519139043
54	0.4483303141
55	0.4457028354
56	0.4426083741
57	0.4396195588
58	0.4362769657
59	0.4338828899
60	0.4313023532
61	0.4284394582
62	0.4254697517
63	0.4227142334
64	0.4195997097
65	0.4172705544
66	0.4144750171
67	0.4109356138
68	0.4084440867
69	0.4061484867
70	0.4037603096
71	0.4016093148
72	0.3991484465
73	0.3967635543
74	0.3941961924
75	0.3919507486
76	0.3897491738
77	0.3876819611
78	0.3853326727
79	0.3836838758
80	0.3812847137
81	0.3789600796
82	0.3764071994
83	0.3743778511
84	0.372552024
85	0.3704406597
86	0.3686060376
87	0.3663595694
88	0.3637972938
89	0.3616169117
90	0.3593921308
91	0.3574391824
92	0.3556928281
93	0.3542727011
94	0.3525907022
95	0.3505033564
96	0.3487821508
97	0.3461545662
98	0.3445394304
99	0.3425844687
100	0.3413872189
101	0.3399051737
102	0.3385940128
103	0.336566925
104	0.3353195544
105	0.3337152269
106	0.3317544019
107	0.3299797906
108	0.3284151996
109	0.3269685109
110	0.3254461642
111	0.3241957205
112	0.3224699586
113	0.3210817973
114	0.3193155924
115	0.3177779162
116	0.3164694044
117	0.3150520325
118	0.3138932122
119	0.3123903628
120	0.3109365039
121	0.3091697693
122	0.3076036595
123	0.3064058092
124	0.3053593812
125	0.3036053975
126	0.3020314817
127	0.3008559898
128	0.2991510674
129	0.2980151353
130	0.2965271561
131	0.2953127402
132	0.2940549674
133	0.2925901766
134	0.2915880062
135	0.2901075681
136	0.2885397452
137	0.2873697457
138	0.285997532
139	0.2849732505
140	0.2840769379
141	0.2828309801
142	0.2815663373
143	0.2807002421
144	0.2801149156
145	0.2790430563
146	0.2779063295
147	0.2769645762
148	0.2753249981
149	0.2743099001
150	0.2730497784
151	0.2721064885
152	0.2711647175
153	0.2700823855
154	0.2689094897
155	0.2679061536
156	0.2669147209
157	0.2662739224
158	0.2653854688
159	0.2645119561
160	0.263745202
161	0.2625196245
162	0.2614157641
163	0.2603798442
164	0.2591109099
165	0.2581357426
166	0.2569203907
167	0.2558265969
168	0.2549346288
