iter	Passed	Remaining
0	8	8836
1	11	5489
2	12	4273
3	14	3653
4	16	3298
5	18	3044
6	20	2873
7	22	2739
8	23	2628
9	25	2560
10	27	2514
11	29	2440
12	31	2373
13	32	2323
14	34	2277
15	36	2226
16	37	2193
17	38	2126
18	40	2109
19	42	2086
20	43	2050
21	45	2018
22	46	1990
23	48	1962
24	49	1934
25	51	1911
26	52	1892
27	54	1876
28	55	1859
29	56	1840
30	58	1823
31	59	1810
32	61	1798
33	63	1791
34	64	1778
35	65	1766
36	67	1761
37	69	1754
38	70	1744
39	72	1734
40	73	1729
41	75	1722
42	76	1713
43	78	1704
44	79	1695
45	81	1686
46	82	1681
47	84	1673
48	86	1670
49	87	1662
50	89	1656
51	90	1650
52	92	1644
53	94	1647
54	95	1641
55	96	1634
56	98	1635
57	100	1631
58	102	1628
59	103	1626
60	105	1621
61	106	1615
62	108	1610
63	109	1608
64	111	1603
65	113	1603
66	114	1600
67	116	1596
68	117	1592
69	119	1588
70	121	1585
71	122	1581
72	124	1576
73	125	1571
74	127	1567
75	128	1564
76	130	1559
77	131	1556
78	133	1554
79	134	1551
80	136	1549
81	138	1548
82	139	1544
83	141	1540
84	142	1536
85	144	1534
86	145	1530
87	147	1526
88	148	1523
89	150	1520
90	151	1517
91	153	1516
92	155	1514
93	156	1512
94	158	1510
95	160	1506
96	161	1504
97	163	1502
98	164	1499
99	166	1495
100	167	1492
101	169	1489
102	170	1486
103	172	1485
104	174	1484
105	175	1480
106	176	1477
107	178	1474
108	179	1471
109	181	1467
110	182	1465
111	184	1461
112	185	1458
113	187	1457
114	188	1453
115	190	1450
116	191	1447
117	193	1445
118	194	1441
119	196	1438
120	197	1436
121	199	1433
122	200	1430
123	202	1430
124	203	1427
125	205	1424
126	206	1422
127	208	1420
128	210	1419
129	211	1417
130	213	1416
131	215	1413
132	216	1411
133	218	1409
134	219	1407
135	221	1406
136	223	1405
137	224	1403
138	226	1400
139	227	1399
140	229	1398
141	231	1395
142	232	1394
143	234	1394
144	236	1393
145	237	1391
146	239	1388
147	240	1387
148	242	1385
149	243	1382
150	245	1380
151	247	1380
152	248	1377
153	250	1375
154	251	1373
155	253	1371
156	254	1369
157	256	1366
158	257	1364
159	259	1361
160	261	1360
161	262	1358
162	264	1356
163	265	1354
164	267	1353
165	268	1350
166	270	1348
167	271	1346
168	273	1344
169	275	1343
170	276	1341
171	278	1339
172	279	1337
173	281	1335
174	282	1333
175	284	1330
176	285	1329
177	287	1327
178	288	1325
179	290	1323
180	291	1320
181	293	1318
182	294	1316
183	296	1315
184	298	1313
185	299	1310
186	301	1308
187	302	1306
188	304	1304
189	305	1303
190	307	1302
191	309	1300
192	310	1298
193	312	1297
194	313	1295
195	315	1293
196	316	1291
197	318	1289
198	320	1288
199	322	1288
200	323	1287
201	325	1286
202	327	1284
203	328	1282
204	330	1281
205	332	1279
206	333	1278
207	335	1277
208	337	1276
209	338	1274
210	340	1273
211	342	1271
212	343	1269
213	345	1267
214	346	1266
215	348	1264
216	349	1262
217	351	1261
218	353	1259
219	354	1258
220	356	1256
221	358	1254
222	359	1252
223	361	1251
224	362	1249
225	364	1247
226	365	1245
227	367	1243
228	368	1241
229	370	1238
230	371	1236
231	373	1235
232	374	1233
233	376	1230
234	377	1229
235	378	1226
236	380	1224
237	382	1223
238	383	1221
239	385	1219
240	386	1217
241	388	1215
242	389	1213
243	391	1211
244	392	1209
245	394	1208
246	395	1206
247	397	1204
248	398	1203
249	400	1201
250	402	1199
251	403	1197
252	404	1195
253	406	1193
254	407	1191
255	409	1189
256	411	1188
257	412	1187
258	414	1185
259	415	1183
260	417	1181
261	418	1179
262	420	1177
263	421	1175
264	423	1173
265	425	1173
266	426	1171
267	428	1170
268	430	1168
269	431	1167
270	433	1165
271	434	1163
272	436	1161
273	437	1160
274	439	1159
275	441	1158
276	443	1157
277	444	1155
278	446	1153
279	448	1152
280	449	1150
281	451	1148
282	452	1147
283	454	1146
284	456	1144
285	457	1142
286	459	1141
287	460	1139
288	462	1137
289	463	1135
290	465	1133
291	466	1131
292	468	1129
293	469	1127
294	471	1126
295	472	1124
296	474	1123
297	475	1121
298	477	1119
299	479	1117
300	480	1115
301	481	1113
302	483	1112
303	485	1110
304	486	1109
305	488	1107
306	489	1105
307	491	1104
308	493	1103
309	495	1101
310	496	1100
311	498	1098
312	499	1097
313	501	1095
314	503	1093
315	504	1092
316	505	1090
317	507	1088
318	509	1087
319	510	1085
320	511	1082
321	513	1081
322	514	1079
323	516	1077
324	517	1075
325	519	1073
326	521	1072
327	522	1070
328	524	1068
329	525	1067
330	527	1065
331	529	1065
332	530	1063
333	532	1061
334	533	1059
335	535	1058
336	536	1056
337	538	1054
338	540	1053
339	541	1051
340	543	1050
341	544	1048
342	546	1046
343	548	1045
344	549	1044
345	551	1042
346	553	1040
347	554	1039
348	556	1037
349	557	1035
350	559	1034
351	560	1032
352	562	1030
353	564	1029
354	566	1028
355	568	1027
356	569	1025
357	571	1024
358	573	1023
359	574	1021
360	576	1020
361	577	1018
362	579	1017
363	581	1015
364	583	1014
365	584	1012
366	586	1011
367	588	1010
368	589	1008
369	591	1006
370	592	1004
371	594	1003
372	595	1001
373	597	1000
374	599	998
375	600	997
376	602	995
377	603	993
378	605	991
379	606	990
380	608	988
381	609	986
382	611	984
383	613	983
384	614	982
385	616	980
386	618	978
387	619	977
388	621	975
389	622	974
390	624	972
391	625	970
392	627	969
393	629	967
394	631	966
395	632	965
396	634	963
397	636	962
398	637	960
399	639	959
400	641	957
401	642	956
402	644	954
403	646	953
404	647	951
405	649	949
406	650	947
407	652	946
408	653	944
409	655	943
410	657	941
411	658	939
412	660	938
413	661	936
414	663	935
415	664	933
416	666	932
417	668	930
418	669	928
419	671	927
420	673	925
421	674	924
422	676	922
423	677	920
424	679	919
425	680	917
426	682	915
427	683	913
428	685	912
429	687	910
430	688	909
431	690	908
432	692	906
433	694	905
434	695	903
435	697	901
436	698	900
437	700	898
438	701	896
439	703	895
440	705	893
441	707	892
